"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AT1G64200"	-0.841042769112066	6.36794944115586	-6.52059519972924	1.98023131660119e-06	0.000411855931624563	5.03512537624249
"AT3G19710"	2.41381768170951	7.33973255427609	6.51639422880626	1.99845077711855e-06	0.000411855931624563	5.0249542807551
"AT1G49230"	1.88817313791947	1.5498200610947	6.51320686983996	2.01238903972154e-06	0.000411855931624563	4.82693265814973
"AT1G75990"	0.634454692472123	5.56896610109867	6.50701402212839	2.03975639025444e-06	0.000413442929870805	5.02718104429086
"AT1G79930"	0.683232251815603	7.94844272656394	6.48101128575631	2.15890464975456e-06	0.000433425809684059	4.94381566783101
"AT1G75640"	1.00146791604979	4.50046738064717	6.41871138856909	2.47432764863931e-06	0.000492064404087892	4.89078049028462
"AT5G23575"	0.923895616615543	6.70407930465922	6.40270987811053	2.56273208462723e-06	0.000504882171438711	4.77528400725749
"AT5G55990"	0.693316192572135	4.40196367049108	6.38527196890999	2.66277097166561e-06	0.000512574955708883	4.82388986094658
"AT1G59540"	1.42430660808674	3.9878019564136	6.37993658954922	2.69417326499041e-06	0.000512574955708883	4.83289574330027
"AT5G03680"	2.22892687595929	1.78739818993138	6.37296959616622	2.7357516925216e-06	0.000512574955708883	4.5983578083349
"AT4G30960"	-0.680225626529483	8.23880875287894	-6.37159457451895	2.7440351973085e-06	0.000512574955708883	4.70705241563792
"AT1G60940"	-0.725529422651989	6.59565550527025	-6.37115757375716	2.7466731946702e-06	0.000512574955708883	4.70646364934932
"AT1G64390"	1.63657279612574	6.86522589041784	6.37099188047476	2.74767409843946e-06	0.000512574955708883	4.70621465241571
"AT3G07365"	-4.54266474303977	-0.367880975684722	-6.36379497500411	2.79151158023023e-06	0.00051618477290573	2.82863548881079
"AT3G04610"	0.49373026605022	5.92879855764696	6.35017313781367	2.87645944171007e-06	0.000527267522010854	4.6729551557595
"AT5G15840"	3.09832664664066	0.271925145505863	6.32786432055296	3.02135229706633e-06	0.000549052641570329	3.36630662511329
"AT4G09760"	-1.14062462397049	4.56653602332792	-6.32067109674878	3.0696509151019e-06	0.000551192739427196	4.6702712316495
"AT3G05165"	-1.23198808811374	7.13359850768567	-6.31586973788969	3.10232955043043e-06	0.000551192739427196	4.58396857506508
"AT1G78570"	-0.810382167003453	8.57542729402722	-6.31452119704037	3.11157191612127e-06	0.000551192739427196	4.58422263306556
